City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kirakira,-10.4544,161.9205,77.61,88,100,10.27,SB,1722884135
83,tikrit,34.6071,43.6782,96.91,16,0,12.06,IQ,1722884136
84,mili,6.0815,171.735,82.44,77,20,9.89,MH,1722884137
85,egilsstadir,65.2653,-14.3948,49.91,93,75,11.5,IS,1722884138
86,jiangyou,31.7667,104.7167,76.3,91,23,3.33,CN,1722884139
87,kalmunai,7.4167,81.8167,82.11,79,96,6.89,LK,1722884140
88,cockburn town,21.4612,-71.1419,83.26,82,7,17.4,TC,1722884141
89,mitu,1.1983,-70.1733,79.21,94,100,2.44,CO,1722884142
90,ammon,43.4696,-111.9666,86.99,37,0,4.61,US,1722884000
91,chita,52.0333,113.55,51.69,100,54,2.24,RU,1722884146
92,sharypovo,55.5403,89.2008,58.57,93,100,5.88,RU,1722884147
93,papao,-17.75,-149.55,78.48,71,16,10.69,PF,1722884148
94,badger,64.8,-147.5333,73.99,59,20,5.75,US,1722884149
95,merizo village,13.2658,144.6691,80.33,77,100,5.21,GU,1722884150
96,quibdo,5.6947,-76.6611,82.74,78,100,10.36,CO,1722883971
97,lompoc,34.6391,-120.4579,74.84,72,0,11.5,US,1722884152
98,lebu,-37.6167,-73.65,51.22,65,73,6.67,CL,1722884153
99,savastepe,39.3832,27.6561,76.66,69,0,7.34,TR,1722884154
100,kununurra,-15.7667,128.7333,64.38,88,100,4.61,AU,1722884155
101,minas de marcona,-15.2119,-75.1103,60.13,60,0,19.8,PE,1722884156
102,mount gambier,-37.8333,140.7667,42.8,100,100,6.38,AU,1722884157
103,khamgaon,20.6833,76.5667,77.25,89,91,7.11,IN,1722884158
104,beyneu,45.3167,55.2,92.93,24,0,10.51,KZ,1722884159
105,manokwari,-0.8667,134.0833,78.62,80,61,7.23,ID,1722884161
106,grand falls-windsor,48.9332,-55.6649,82.51,72,100,6.51,CA,1722884162
107,hithadhoo,-0.6,73.0833,83.35,73,100,3.27,MV,1722884163
108,port alfred,-33.5906,26.891,56.97,60,0,10.76,ZA,1722884053
109,manturovo,58.3353,44.7619,58.8,96,97,3.56,RU,1722884165
110,ugoofaaru,5.6667,73.0,82.31,74,100,2.95,MV,1722884166
111,sitka,57.0531,-135.33,66.09,63,20,0.0,US,1722884167
112,ujae,8.9322,165.7642,83.77,73,92,7.07,MH,1722884168
113,baker city,44.7749,-117.8344,82.11,39,0,3.44,US,1722884169
114,bethel,41.3712,-73.414,89.53,57,0,5.75,US,1722884170
115,bilibino,68.0546,166.4372,35.98,68,84,4.09,RU,1722884171
116,whitehorse,60.7161,-135.0538,71.1,40,0,13.8,CA,1722884172
117,peace river,56.2501,-117.286,59.31,94,100,6.91,CA,1722884173
118,punta arenas,-53.15,-70.9167,33.91,80,20,9.22,CL,1722884174
119,ancud,-41.8697,-73.8203,46.78,91,100,14.52,CL,1722884176
120,taulaga,-11.0553,-171.0883,81.54,80,11,12.55,AS,1722884177
121,broken hill,-31.95,141.4333,41.02,92,0,5.08,AU,1722884178
122,kourou,5.1552,-52.6478,89.65,62,3,10.4,GF,1722884179
123,shalya,57.2471,58.7298,58.42,99,100,4.97,RU,1722884180
124,hermanus,-34.4187,19.2345,52.48,79,12,12.59,ZA,1722884181
125,lorengau,-2.0226,147.2712,80.47,81,87,7.31,PG,1722884182
126,santa maria da vitoria,-13.3947,-44.1886,88.14,27,0,8.75,BR,1722884183
127,ziway,7.9333,38.7167,65.25,82,100,4.81,ET,1722884184
128,chonglong,29.7806,104.8522,79.41,89,0,0.58,CN,1722884185
129,khanty-mansiysk,61.0042,69.0019,66.31,77,40,11.18,RU,1722884186
130,fort mcmurray,56.7268,-111.381,72.99,52,0,11.5,CA,1722884187
131,port mathurin,-19.6833,63.4167,72.39,77,14,20.07,MU,1722884188
132,longyearbyen,78.2186,15.6401,51.64,76,20,17.27,SJ,1722884189
133,long beach,33.767,-118.1892,97.68,54,0,8.05,US,1722884081
134,pathein,16.7833,94.7333,77.65,90,100,4.07,MM,1722884191
135,masina,-4.3836,15.3914,82.69,54,20,0.0,CD,1722884192
136,brisas de zicatela,15.8369,-97.0419,84.72,84,75,8.05,MX,1722884193
137,achinsk,56.2694,90.4993,61.18,93,100,4.27,RU,1722884020
138,marka,1.7159,44.7717,75.76,80,3,21.18,SO,1722884195
139,ascension,30.2169,-90.9001,96.8,54,75,5.75,US,1722884196
140,east ballina,-28.8667,153.5833,61.81,79,100,9.06,AU,1722884197
141,odesskoye,54.2111,72.9651,61.57,87,11,7.11,RU,1722884198
142,prineville,44.2999,-120.8345,88.5,30,0,0.0,US,1722884199
143,utrik,11.2278,169.8474,82.45,81,94,15.05,MH,1722884201
144,akrehamn,59.2667,5.1833,64.65,72,75,19.57,NO,1722884202
145,pudozh,61.8099,36.5345,57.6,95,100,6.04,RU,1722884203
146,igarka,67.4667,86.5833,47.61,71,99,11.95,RU,1722884204
147,anacapri,40.5558,14.2136,83.44,79,0,2.3,IT,1722884205
148,port blair,11.6667,92.75,80.64,89,75,5.75,IN,1722884083
149,invercargill,-46.4,168.35,38.01,92,95,5.01,NZ,1722884207
150,margate,51.3813,1.3862,67.69,74,2,10.8,GB,1722883846
151,remire-montjoly,4.9167,-52.2667,89.64,66,40,16.11,GF,1722884210
152,sabha,27.0377,14.4283,95.43,12,0,12.59,LY,1722884212
153,salekhard,66.53,66.6019,44.35,68,76,11.45,RU,1722884213
154,naze,28.3667,129.4833,81.52,86,0,7.27,JP,1722884214
155,mount pearl,47.5166,-52.7813,74.32,87,100,25.32,CA,1722884215
156,pullman,46.7313,-117.1796,73.63,77,100,12.66,US,1722884053
